"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"115","mmu-miR-541-5p",8251.19760659841,-2.69973362117797,0.479421575830308,-5.63123096098109,1.78927923254189e-08,9.70878470527075e-08,9.70878470527075e-08
"116","mmu-miR-299a-3p",304.100450238581,-2.77148385883117,0.493063906885135,-5.62094247851084,1.89918504583247e-08,1.02163057637885e-07,1.02163057637885e-07
"117","mmu-miR-15a-3p",156.681011872487,-0.8384079443198,0.149644227917083,-5.60267479734905,2.11069005396999e-08,1.12309453566654e-07,1.12309453566654e-07
"118","mmu-miR-376b-5p",222.479813500959,-1.25358000220139,0.223848012107234,-5.60013908723419,2.14179887410767e-08,1.12309453566654e-07,1.12309453566654e-07
"119","mmu-miR-376c-3p",149.994742052304,-2.20469066821305,0.393599040335608,-5.60136189949343,2.12674189554758e-08,1.12309453566654e-07,1.12309453566654e-07
"120","mmu-miR-219a-1-3p",86.1948202897311,1.00885034324103,0.18019674749224,5.59860462123197,2.16083982990225e-08,1.12363671154917e-07,1.12363671154917e-07
"121","mmu-miR-107-5p",13.1361113520616,1.83332782845827,0.327664755757934,5.59513281865645,2.20452937454104e-08,1.13688126422612e-07,1.13688126422612e-07
"122","mmu-miR-380-3p",256.985203523829,-3.24773920934307,0.582653963082565,-5.57404465621535,2.48891889780991e-08,1.27302081330605e-07,1.27302081330605e-07
"123","mmu-miR-3061-3p",86.7053084020524,1.00912552484396,0.181246515889147,5.56769612863157,2.58129462703365e-08,1.30953483517805e-07,1.30953483517805e-07
"124","mmu-miR-871-3p",63.5947107889958,1.98687431874425,0.357131775785737,5.56342071318874,2.64537084179141e-08,1.33121887522406e-07,1.33121887522406e-07
"125","mmu-miR-3098-3p",26.263065925947,1.50247170603036,0.271090442203077,5.54232636835218,2.98479318056868e-08,1.49000875573989e-07,1.49000875573989e-07
"126","mmu-miR-410-3p",3111.81358116378,-2.64221591120749,0.476900553881475,-5.5403917854626,3.01795686903602e-08,1.49460721133212e-07,1.49460721133212e-07
"127","mmu-miR-127-3p",96018.1321001776,-2.20123200136952,0.398079498221393,-5.52962916001593,3.20908451011699e-08,1.57674703489213e-07,1.57674703489213e-07
"128","mmu-miR-665-3p",39.1734987532756,-3.04027579619972,0.550094209006187,-5.5268274895901,3.26073298534432e-08,1.58960733035535e-07,1.58960733035535e-07
"129","mmu-miR-411-5p",25719.5694315019,-2.27496631684947,0.412468034594064,-5.51549726535394,3.47795152797545e-08,1.68235794841603e-07,1.68235794841603e-07
"130","mmu-miR-382-3p",54.9760505541779,-2.86837944911601,0.520568277296156,-5.51009267029185,3.58644830983687e-08,1.7214951887217e-07,1.7214951887217e-07
"131","mmu-miR-30c-1-3p",1461.78428798062,1.26225675743493,0.229739939537851,5.49428523387839,3.92296004106782e-08,1.86864661498193e-07,1.86864661498193e-07
"132","mmu-miR-296-5p",95.8766925232003,-2.13482859068414,0.389644937965265,-5.47890754550095,4.27959894732532e-08,2.02308313873561e-07,2.02308313873561e-07
"133","mmu-miR-218-5p",3254.12158736467,-1.09028980409192,0.199399892609033,-5.46785552302013,4.55512921792879e-08,2.13714333232148e-07,2.13714333232148e-07
"134","mmu-miR-470-5p",20.1229537889219,2.23073376285534,0.408175414305936,5.4651350489801,4.6255451176899e-08,2.15398518913321e-07,2.15398518913321e-07
"135","mmu-miR-181d-3p",24.6061124672693,1.33073125486196,0.243708781428511,5.46033362877534,4.75240657667389e-08,2.19666792877371e-07,2.19666792877371e-07
"136","mmu-miR-3470a",197.27779234362,-2.94678853300715,0.541861556161221,-5.43826831688054,5.38009108306966e-08,2.46851237929079e-07,2.46851237929079e-07
"137","mmu-miR-9-5p",2130.73083363327,1.41394890830069,0.260284479439825,5.43232124844225,5.56256644557493e-08,2.53360690659763e-07,2.53360690659763e-07
"138","mmu-miR-22-3p",3943833.56213343,0.885115155083432,0.163396588439122,5.41697451298506,6.0615977357634e-08,2.74089636747562e-07,2.74089636747562e-07
"139","mmu-miR-300-3p",2891.10577964122,-2.33488493264011,0.43282229500311,-5.39455790423951,6.86924726296389e-08,3.06172163720676e-07,3.06172163720676e-07
"140","mmu-miR-6516-5p",60.5221017476956,0.859521971267759,0.159302417661253,5.39553626295541,6.83191921112068e-08,3.06172163720676e-07,3.06172163720676e-07
"141","mmu-miR-135a-5p",228.653361862697,2.01511569457185,0.373893786711851,5.38954046894833,7.06380724939025e-08,3.12611044228334e-07,3.12611044228334e-07
"142","mmu-miR-181a-1-3p",2134.61722721931,0.417395375026802,0.0774776208282848,5.38730243087722,7.15230277585033e-08,3.14298375502155e-07,3.14298375502155e-07
"143","mmu-miR-376b-3p",207.58518695933,-2.21320303992591,0.411699765211121,-5.37576949744184,7.62562973647231e-08,3.32754752136973e-07,3.32754752136973e-07
"144","mmu-miR-200b-3p",173.24994851595,-2.42560906476496,0.451824037565158,-5.3684816722819,7.94022582714576e-08,3.4407645250965e-07,3.4407645250965e-07
"145","mmu-miR-125a-3p",287.528903560721,-0.894232520966975,0.16742371260399,-5.34113422202097,9.23668330016935e-08,3.97495888227977e-07,3.97495888227977e-07
"146","mmu-miR-199b-5p",3278.29772288725,-1.7956078493451,0.336510353728805,-5.33596612837711,9.50371433719685e-08,4.06186147014441e-07,4.06186147014441e-07
"147","mmu-miR-431-5p",822.952863844561,-2.23594515696724,0.422096216982451,-5.29724045610245,1.17565836203616e-07,4.99054978170454e-07,4.99054978170454e-07
"148","mmu-miR-340-5p",11030.9425834943,-1.10342140048464,0.20929147877356,-5.27217547007,1.34816088226736e-07,5.68413777388401e-07,5.68413777388401e-07
"149","mmu-miR-370-3p",52.1836394172287,-2.74681732223207,0.522254288727716,-5.25954000095184,1.44416212387026e-07,6.04803466640967e-07,6.04803466640967e-07
"150","mmu-miR-741-3p",16.5550519423709,2.51648732042707,0.478792827449961,5.25590020600314,1.4730215309865e-07,6.12776956890383e-07,6.12776956890383e-07
"151","mmu-miR-127-5p",353.487868948725,-2.25125717991169,0.429114488182385,-5.24628564616269,1.55196221932476e-07,6.41340678714339e-07,6.41340678714339e-07
"152","mmu-miR-16-5p",473537.28491595,-0.301115093689648,0.0574606024402872,-5.24037481163838,1.60250772063468e-07,6.57692066376665e-07,6.57692066376665e-07
"153","mmu-miR-431-3p",24.6403665799341,-2.46624006962859,0.47072701671053,-5.23921504837947,1.61261035505817e-07,6.57692066376665e-07,6.57692066376665e-07
"154","mmu-miR-337-5p",555.059639955922,-2.1295251777376,0.407069852791395,-5.2313507451727,1.68275874004708e-07,6.81845099863234e-07,6.81845099863234e-07
"155","mmu-miR-154-5p",180.058351816474,-1.33983893452239,0.256559549839085,-5.22233117170162,1.76684619235989e-07,7.11298080021014e-07,7.11298080021014e-07
"156","mmu-miR-186-5p",33145.7988289063,0.667761455883257,0.12835248076361,5.20255979401824,1.96562086066951e-07,7.86248344267804e-07,7.86248344267804e-07
"157","mmu-miR-877-5p",109.803208272984,-0.714294571139126,0.137430719064216,-5.19748842182338,2.01999117283724e-07,8.02849994809198e-07,8.02849994809198e-07
"158","mmu-miR-376a-3p",131.678421978481,-2.74129921809414,0.530515978939238,-5.16723214176385,2.37586101437172e-07,9.38314729726551e-07,9.38314729726551e-07
"159","mmu-miR-218-1-3p",67.1454607440339,-1.36226856511714,0.264355926945675,-5.15316066810593,2.56132335694567e-07,1.0051986004617e-06,1.0051986004617e-06
"160","mmu-miR-679-5p",59.6659930635358,-3.74582651772805,0.72743289710786,-5.14937739634923,2.61352543926973e-07,1.01927492131519e-06,1.01927492131519e-06
"161","mmu-miR-133a-3p",4172234.07964277,1.99861390459427,0.38898479075267,5.13802583573262,2.7763971848635e-07,1.06494956146153e-06,1.06494956146153e-06
"162","mmu-miR-30a-5p",799616.18256542,1.16772509582544,0.227338323724273,5.13650790018894,2.798905898713e-07,1.06494956146153e-06,1.06494956146153e-06
"163","mmu-miR-409-5p",994.627680098551,-2.61848541908898,0.509716815254582,-5.13713760410506,2.78954702288174e-07,1.06494956146153e-06,1.06494956146153e-06
"164","mmu-miR-434-5p",3353.19747969033,-2.43157122807064,0.473092449932187,-5.13973796964881,2.75121858823377e-07,1.06494956146153e-06,1.06494956146153e-06
"165","mmu-miR-497a-5p",13254.3523874378,-1.05863046286055,0.206425497350663,-5.12839003149991,2.92230518545312e-07,1.10516268831681e-06,1.10516268831681e-06
"166","mmu-miR-467a-5p",1266.20016836264,-1.2519870206034,0.246358816160482,-5.08196556598092,3.73549140079626e-07,1.38746823458147e-06,1.38746823458147e-06
"167","mmu-miR-467b-5p",1266.20016836264,-1.2519870206034,0.246358816160482,-5.08196556598092,3.73549140079626e-07,1.38746823458147e-06,1.38746823458147e-06
"168","mmu-miR-677-5p",84.1633689531841,0.795690467693101,0.156546693605518,5.08276763543893,3.71974644947248e-07,1.38746823458147e-06,1.38746823458147e-06
"169","mmu-miR-504-5p",162.566767938118,1.45736233277457,0.287985793101554,5.06053551141896,4.18080580691506e-07,1.54368214409171e-06,1.54368214409171e-06
"170","mmu-miR-409-3p",908.31004885344,-2.43959317110008,0.483842575242208,-5.04212174771689,4.60398197872694e-07,1.68993220866212e-06,1.68993220866212e-06
