"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"mir-669c-5p",0.193925754162702,5.17070557429219,0.701051358576985,0.494985712860202,0.819705341070454,-6.63606414583538
"mir-1191b-5p",0.158475425894204,7.2743379685843,1.32593189756926,0.206506555467264,0.606110149813009,-6.63671224104838
"mir-1934-5p",0.129093683848887,4.9475841817046,0.591709474852773,0.563664937903605,0.838080762935624,-6.64505799717143
"mir-135a-2-3p",-0.251776500553753,5.43989743502147,-0.794828226539464,0.440241787670912,0.789640031854176,-6.64607676740428
"mir-486a-3p",-0.0791396844615901,4.32382257784534,-0.221462474494815,0.827993280780587,0.926368720081251,-6.65005316021167
"mir-5122-5p",-0.175599374936664,4.86918497104558,-0.535006541592526,0.601206161419539,0.838719706671702,-6.65654084281209
"mir-3966-5p",-0.168834747364386,8.26648415853053,-1.44069749583482,0.172091846702614,0.555610819354155,-6.66576110902347
"mir-7213-5p",-0.0933986065897141,4.58043829959964,-0.302203344113713,0.767027963746064,0.920481472797323,-6.68150242336109
"mir-467e-5p",0.205508491589345,5.71747182107836,0.828816228209285,0.421388344088163,0.787055915404337,-6.70454518933401
"mir-666-5p",-0.0311364356368493,4.53292044453465,-0.0995981895177169,0.922103417540592,0.956502297189306,-6.71211710419371
"mir-330-3p",-0.214558653520853,6.43952941429123,-1.04996737686933,0.311869751703021,0.709460625160908,-6.72055503649926
"mir-872-5p",0.098961789926431,10.6504662323052,1.56803942311991,0.13963154907457,0.517323444112343,-6.72307616386318
"mir-3061-3p",-0.13487031452565,7.93279358584748,-1.34729150098901,0.199708622451432,0.600342907342173,-6.72894140418749
"mir-3084-2-3p",0.00503873527482845,4.61091976618402,0.0196925599741394,0.984572035074192,0.984572035074192,-6.73594803348165
"mir-20a-3p",0.132723089356534,4.85614114942543,0.331290488079759,0.745428897378828,0.920481472797323,-6.74489215766431
"mir-376c-3p",-0.180645765159654,5.98244588431453,-0.870659188646958,0.398912631851795,0.770549186312014,-6.7563638280073
"mir-3076-3p",0.17007312344516,5.61681563353857,0.706285086075091,0.491826887989619,0.819705341070454,-6.76975328240774
"mir-1194-3p",0.116139523399675,5.53949471694365,0.667004591793138,0.515826544228864,0.819705341070454,-6.77313673078033
"mir-6946-3p",0.0119243052453637,4.80412996728651,0.0418375074840231,0.967230751810361,0.980242824704671,-6.78764685540233
"mir-7068-3p",-0.13909897953598,10.3219424895511,-1.51430396540462,0.15263339389533,0.527406740483122,-6.78954636794676
"mir-322-5p",-0.122933231568037,14.5836853395745,-1.72333556859828,0.107268746846687,0.511143901389911,-6.81864397310572
"mir-186-3p",-0.124171908400425,5.62084989389551,-0.632262386692671,0.537605936196297,0.819705341070454,-6.82303978632783
"mir-376b-5p",-0.17066151575299,6.9891032688769,-1.10571811678946,0.287853737588325,0.673664186404391,-6.82634186974304
"mir-1933-3p",0.0568108943703507,5.04977375127167,0.166985159158047,0.869816868031302,0.936088629405116,-6.84319636709914
"mir-376b-3p",0.148862043832633,5.72181082179212,0.640122441675589,0.532633910321159,0.819705341070454,-6.84900429543123
